company_name,job_position,employment_type,working_location_type,working_location,min_experience,salary,company_desc,company_industry,company_location,company_employess_count,job_desc_list,job_qualification_list,jobs_id
BINUS Group,Sales & Promotion Staff (Medan),Penuh waktu,On-site,Medan,Min. Freshgrad,,"BINUS is a well-known and fast growing institution that has been recognized nationally and internationally. In 2019, it was awarded for the second time as the #1 Indonesian Employer of Choice in Education by Korn Ferry - SWA We endeavor to achieve a conducive working & learning environment, with a family-friendly multicultural community. We are currently looking for qualified and committed fulltime employees to be part of our big family.",Education Administration Programs,Jakarta Barat,-,"['Conduct sales activity and ensure each stage of a sales is completed in a timely and accurate manner, including: preparation of quotations, confirmation of requirements, required invoices, and payment', 'Maintain and update customer’s status data with detail records', 'Maintain and update all related data regarding promotion plan and event', 'Create promotion event report and evaluation', 'Cooperate with event organizers to establish event requirements']","['Min. Bachelor degree in Communication/Marketing/Business Management or related field', 'Fresh graduate are welcome to apply (have experience in sales/marketing is a plus)', 'Able to communicate fluently\xa0in\xa0Hokkien']",1584
MR. DIY Indonesia,Retail Division Manager (Duri),Penuh waktu,On-site,Bengkalis Regency,Min. 5+ years of experience,,"Sejak toko pertama dibuka pada Juli 2005, MR.DIY saat ini menjadi salah satu ritel perlengkapan rumah tangga terbesar dan berkembang pesat di Asia Pasifik, dengan komitmen menghadirkan perubahan yang berharga bagi konsumen.",Retail and fashion,Jakarta Selatan,50–100,"['Managing more than 10 stores to achieve sales target, customer satisfaction and SOP', 'Creating reporting such as sales, stock take, damage, display', 'Training & developing Team', 'Managing asset, facility and cost in each stores', 'Coordinating with across department regarding man power, stocks, distribution']","['Min. Bachelor Degree of any major', 'Min. 10 years experience in sales / retail operation / merchandising', 'Good communication', 'Willing to travel', 'Able to work under pressure', 'Familiar with Excel, visual merchandising & stock opname']",1585
Anteraja,Mitra Kurir Motor (Jawa Timur & Bali),Penuh waktu,On-site,Pamekasan Regency,Min. Freshgrad,,"Anteraja is a company that moves within delivery service and logistics, spanning over the far-east of Indonesia to the far-west. Of course, it’s osnly necessary that every service that we offer come with an app, and it doesn’t stop there–– our system is fully automated by a network of artificial intelligence (AI).",Freight And Package Transportation,Jakarta Selatan,>100,"['Mengambil paket dari pengirim dan mengirimkannya kepada penerima.', 'Melakukan distribusi paket di area tertentu.', 'Memastikan paket sampai dengan aman dan tepat waktu.']","['Pendidikan\xa0', 'Memiliki\xa0', 'dalam keadaan\xa0', 'Min. 3 bulan dari tanggal pendaftaran)', 'Memliki\xa0', 'kondisi motor dalam standar pabrik dan tahun produksi di atas tahun 2012 (Diutamakan\xa0', '', 'Memiliki gawai (', '', 'dengan spesifikasi\xa0', 'dan sistem operasi terbaru (Min Android 8.0 oreo - 14.0)', 'Mampu membaca peta atau\xa0', 'Penempatan sesuai ']",1586
Anteraja,Quality Assurance (QA) ASSA Pekalongan,Kontrak,On-site,Pekalongan Regency,Min. 1 years of experience,,"Anteraja is a company that moves within delivery service and logistics, spanning over the far-east of Indonesia to the far-west. Of course, it’s osnly necessary that every service that we offer come with an app, and it doesn’t stop there–– our system is fully automated by a network of artificial intelligence (AI).",Freight And Package Transportation,Jakarta Selatan,>100,"['Melakukan pengawasan terhadap proses harian operational gudang meliputi:', 'Memastikan semua proses sesuai SOP yang berjalan (Audit stock dan kualitas)', 'Memastikan kelayakan operational gudang dan barang']","['Pendidikan min. D3 hingga S1', 'Memiliki pengalaman min. 1 Tahun sebagai QA di Gudang (Warehouse)', 'Dapat mengoperasikan Microsoft Excel dan Program WMS', 'Bersedia bekerja dalam shift', 'Bersedia ditempatkan di lokasi Warehouse ASSA']",1587
PT Rapid Teknologi Indonesia,Microsoft Dynamics Nav - Consultant,Penuh waktu,On-site,Jakarta,Min. 4 years of experience,,PT Rapid Teknologi Indonesia is an IT service solution with a highly dedicated team of an honest and positive professionals working closely together in coordination to offer and design cutting edge solutions for clients in various places across several vertical industry.,Information Tecnology,Jakarta,>100,"['Work with Clients and Lead successful implementations of Dynamics NAV using industry best practices', 'Work with Customers to understand their business requirements and scope out application configuration, modifications and custom development', 'Implement, Train users, Lad applications testing, User Acceptance testing and support implementations through Go Live.', 'Successfully transfer Customer Implementations over to Support Team', 'Make functional recommendations for installation, modifications and custom development for NAV projects', 'Functional design, implementation and testing of core Dynamics NAV granules and add-on’s']","['Bachelor Degree in Information Technology, Engineering, Computer Science', 'English: Fluent', 'Minimum of 2 years Dynamics NAV Consulting experience', 'Minimum of 2 full lifecycle Dynamics NAV 2013/2015 implementations', 'Certification in Dynamics NAV (is plus)', 'Experience and willingness to take on Leadership role on new projects and for existing clients', 'Experience participating in Work Scoping & Estimation for new projects', 'Excellent communication, planning and organization skills', 'Ability to establish priorities and work independently', 'Strong customer relationship skills']",1588
Pou Chen Group Indonesia,Carpentry Staff,Penuh waktu,On-site,Indonesia,Min. 1 years of experience,,"Pou Chen Group, the largest branded athletic and casual footwear manufacturer in the world, is an OEM/ODM for major international brand name companies such as Nike, Adidas, Asics, New Balance, Timberland, and Salomon. As a global leader in the manufacture of branded athletic and casual/outdoor footwear, the Group produced 238.3 million pairs of shoes last year.",Spectator Sports,Banten,50–100,['Bertanggung jawab untuk memperbaiki dan membuat fasilitas perusahaan yang berbasis kayu.'],"['Minimal SMK/ SMA dengan semua jurusan', 'Memiliki pengalaman kerja selama 1 tahun sebagai insinyur pertukangan atau di posisi terkait, atau lulusan baru dipersilakan melamar.', 'Memiliki pengetahuan tentang pertukangan dan joinery atau keterampilan pembuatan kabinet.', 'Mampu memahami urgensi pekerjaan mereka.', 'Mampu menyesuaikan kebutuhan material berdasarkan kebutuhan.', 'Memiliki komunikasi yang baik dan sikap yang baik.', 'Mampu bekerja dalam tim maupun secara individu.']",1589
PT Rapid Teknologi Indonesia,Frontend - Developer,Penuh waktu,On-site,Jakarta,Min. 4 years of experience,,PT Rapid Teknologi Indonesia is an IT service solution with a highly dedicated team of an honest and positive professionals working closely together in coordination to offer and design cutting edge solutions for clients in various places across several vertical industry.,Information Tecnology,Jakarta,>100,"['Collaborate with product manager and team to analyze requirements and envision system features and functionality', 'Convert high level software design to low level software design', 'Write code, perform testing, debugging and code review', 'Implement new features and optimize existing ones', 'Complete necessary documentation', 'Rapidly fix bugs and solve problems', 'Proactively look for ways to make the system better']","['Bachelor Degree in Information Technology, Engineering, Computer Science', 'years experience in\xa0ReactJS, ReactNative, RESTfull webservice, MySQL', 'Preferable experience in:\xa0Ionic, Java Spring framework, PHP laravel, Agile scrum, DevOps environment (nginx, tomcat, jenkins, maven, bitbucket, jira, etc)', 'Experience in system analysis, database design & system design pattern and their application', 'Posses strong debugging skill']",1590
Dexa Group,IT Manufacturing Support Engineer (Palembang),Penuh waktu,On-site,Palembang,Min. 1 years of experience,Rp8.000.000 – 9.000.000,"Dexa Group has evolved from a small company established in 1969 to one of Indonesia’s largest ethical pharmaceutical companies at the beginning of the 21st century and has become a prominent, well-respected player in the domestic pharmaceutical market.",Pharmaceutical,Tangerang Selatan,-,"['Provide timely and effective technical support for machine integration, and IoT systems.', 'Troubleshoot and resolve software and hardware issues related to manufacturing systems.', 'Support the integration of machines and equipment with manufacturing systems.', 'Configure and maintain IoT devices and sensors used in manufacturing processes.', 'Troubleshoot data communication issues between machines, IoT devices, and systems.', 'Create and maintain documentation for manufacturing systems and troubleshooting guides.', 'Provide training and support to end-users on manufacturing systems.', 'Work closely with manufacturing engineers, production teams, and other IT personnel to resolve issues and implement improvements.', 'Coordinate with vendors and external support teams for system maintenance and upgrades.', 'Understanding of business process on manufacturing']","[""Bachelor's degree in Information Technology, Computer Science, Chemical Engineering, or a related field (or equivalent experience).\xa0\xa0"", 'Strong understanding of manufacturing processes and systems.', 'Proficiency in troubleshooting software and hardware issues.', 'Familiarity with industrial automation and control systems (e.g., PLCs, SCADA) is a plus.', 'Understanding of data acquisition.', 'Understanding of industrial communication protocols (OPC-UA, Modbus, etc.)', 'Willing to work on site at Palembang']",1591
Miniso,Store Leader Development Program,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,,"The MINISO Brand founder Mr. Guofu Ye gained inspiration for MINISO during his overseas travels with his family in 2013. He came across several specialty stores which stocked good quality, well designed, and inexpensive products that were mostly manufactured in China. Driven by his passion for retail and his belief in the industry's potential, Mr. Guofu Ye established MINISO-""Global IP Collection Store"". Like many groundbreaking companies as Apple, Amazon, and Google, MINISO began in a Guangzhou garage ten years ago.",E-commerce and Online Retail,Jakarta,-,"['Manage and maintain all the things for the store needs', 'Build good relationships with team to develop a high performing', 'Responsible and analyze for sales achievement target strategies', 'Responsible to prepare shift schedule, attendance, sales recapitulation, etc', 'Coordinate with relevant department regarding store needs']","['Minimum education Senior High School with maximum age of 28 years old or Diploma degree with maximum age of 30 years old', 'At least 3 years of working experience as Store Leader in Big Retail company', 'Ready to work rolling & shift schedule and also good knowledge in store management', 'Strong analytical skill, self-driven and strong leadership']",1592
PT Rapid Teknologi Indonesia,Backend - Developer,Penuh waktu,On-site,Jakarta,Min. 4 years of experience,,PT Rapid Teknologi Indonesia is an IT service solution with a highly dedicated team of an honest and positive professionals working closely together in coordination to offer and design cutting edge solutions for clients in various places across several vertical industry.,Information Tecnology,Jakarta,>100,"['Collaborate with product manager and team to analyze requirements and envision system features and functionality', 'Convert high level software design to low level software design', 'Write code, perform testing, debugging and code review', 'Implement new features and optimize existing ones', 'Complete necessary documentation', 'Rapidly fix bugs and solve problems', 'Proactively look for ways to make the system better']","['Bachelor Degree in Information Technology, Engineering, Computer Science', 'years experience in\xa0JavaSpring framework, RESTfull webservice, MySQL, Laravel.', 'Preferable experience in:\xa0ReactJS, ReactNative, Ionic, PHP Laravel, Agile scrum, DevOps environment (nginx, tomcat, jenkins, maven, bitbucket, jira, etc)', 'Experience in system analysis, database design & system design pattern and their application', 'Posses strong debugging skill']",1593
PT Rapid Teknologi Indonesia,System - Analyst,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,,PT Rapid Teknologi Indonesia is an IT service solution with a highly dedicated team of an honest and positive professionals working closely together in coordination to offer and design cutting edge solutions for clients in various places across several vertical industry.,Information Tecnology,Jakarta,>100,"['Responsible in translating customer requirements to designs and documentations for our products on our clients', 'You will work together with Solutions Implementors in projects on our customers’ sites, who will implement the systems based on your inputs. You will also be responsible to document all project works such as specification documents, configuration documents, testing documents, and others as required by each project.', 'Good understanding of business and technical processes, which will involve mainly Application Development Lifecycle Management (ADLM) processes, ITSM, and knowledge management.']","['Bachelor Degree in Information Technology, Engineering, Computer Science', 'At least 2-3 year(s) of working experience in the related (Experienced as System Analyst or Software Developer is a plus)', 'years experience in development / analysis using C#.NET', 'years experience using Microsoft SQL Server (understand stored procedure, indexing, db tuning, etc.)', 'Experience in Creating Business Requirement Definition for IT Projects using software design such as UML, ERD, UI Mockup, etc)', 'Able to read program logic.', 'Experienced with Testing automation Software is a plus', 'Have good knowledge about Business Process Mapping, and have good analytical thinking', 'Good attitude and communication (able to communicate in English is a plus)', 'Ability to work independently and collaborate in team']",1594
Doo Group,Customer Service - Global Financial Services,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,,"Doo Group, established in 2014 and headquartered in Singapore, is an international financial services group with FinTech as its core. Operating through 10 major business lines, including Brokerage, Wealth Management, Property, Payment & Exchange, FinTech, Financial Education, Health Care, Consulting, Cloud, and Digital Marketing, Doo Group continually strengthens our interconnected business ecosystem. We are dedicated to providing comprehensive financial services and innovative solutions to clients worldwide. Together, we embark on a journey to Explore α Better Future.",Financial Services,Jakarta,>100,"['Respond to incoming customers’ calls, live chats, or emails.\xa0', 'Responsible for handling customers’ enquiries and complaints professionally.', 'Conduct market research, data collection and data analysis.', 'Perform system testing.', 'Organize front-end requirements and follow up with respective departments.', 'Check and update SOP.\xa0', 'Summarize and update the business information.']","['Possess at least a Diploma in any field.', 'At least 1 year of working experience in Customer Service or Finance related fields are preferred.', 'Good command in\xa0', '', 'Experience in trading / investment / finance / forex will be an added advantage.']",1595
Doo Group,Dealer / Trading - Executive,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,,"Doo Group, established in 2014 and headquartered in Singapore, is an international financial services group with FinTech as its core. Operating through 10 major business lines, including Brokerage, Wealth Management, Property, Payment & Exchange, FinTech, Financial Education, Health Care, Consulting, Cloud, and Digital Marketing, Doo Group continually strengthens our interconnected business ecosystem. We are dedicated to providing comprehensive financial services and innovative solutions to clients worldwide. Together, we embark on a journey to Explore α Better Future.",Financial Services,Jakarta,>100,"['To execute securities, futures and options and related orders', 'Reporting to clients timely, orderly and accurately at all time.', 'To check and monitor customer’s equity and position limits to ensure no over-trading', 'To escalate immediately on occurrence of error, to ensure a detailed account of error report is made promptly', 'Assist to deal with upper brokers regarding trade and product related matters such as commission, order execution, product updates and etc.', 'Handle trade and financial product related matters including holiday announcements, new product launch, and new product testing etc.', 'Assist on Product related maintenance in trading system such as Futures contract size matching with related exchange, Stock lots size matching with related exchange and etc.', 'Resolve trade related transaction issues together with related departments.', 'Involve in trading system enhancement project.']","['Possess at least a Bachelor’s Degree in Actuarial, Economics, Finance, Banking, or equivalent.', 'Possess trading knowledge and experience in\xa0', 'will be an added advantage.', 'Familiarity with trading platform such as MT5 is highly desirable.', 'Experience in project management related to new system / product launches will be considered a significant advantage.', 'Proficient in Microsoft Office Suite particularly Microsoft Excel.', 'Good command in\xa0']",1596
PT Nojorono Tobacco International,Packaging Design - Executive,Penuh waktu,On-site,Kudus Regency,Min. 1 years of experience,,"PT Nojorono Tobacco International merupakan salah satu perusahaan pelopor rokok kretek di Indonesia yang diinisiasi oleh Bapak Tjoa Kang Hay yang menunjuk kedua menantunya yakni Bapak Ko Djee Siong dan Bapak Tan Djing Thay. Seiring dengan perkembangan bisnis yang maju, kemudian perusahaan dikukuhkan pada 14 Oktober 1932 dan berpusat di Kota Kudus, Jawa Tengah. Saat ini, Nojorono Kudus menduduki posisi kelima dalam kategori industri sigaret terbesar di Indonesia. PT Nojorono Tobacco International dikenal sebagai pemilik merek dagang Minak Djinggo yang diluncurkan tahun 1932. Minak Djinggo merupakan pelopor inovasi Sigaret Kretek Tangan (SKT). Minak Djinggo bertahan di industri SKT hingga saat ini, cukup dikenal di kalangan petani dan nelayan. Terobosan berikut dari perusahaan adalah diluncurkannya Clas Mild, produk LTLN (Low Tar Low Nicotine) di tahun 2003. Dalam kurun waktu dua setengah tahun, Clas Mild mengukuhkan diri sebagai produk kretek filter rendah tar dan nikorin (Low Tar Low Nicotine – LTLN) yang disukai konsumen hingga berhasil menjadi produk kretek filter terbaik di Indonesia.",Tobacco Manufacturing,Indonesia,>100,"['Menjalankan dan bertanggung jawab atas proses trial skala lab hingga skala short run terkait dengan New Product Development, New Product Launch, Improvement terhadap proses dan produk sesuai dengan prosedur yang ditentukan', 'Melakukan dan bertanggung jawab atas analisa hasil trial dan pembuatan laporan hasil trial secara lengkap dan terstruktur', 'Bertanggung jawab terhadap handling stronge sample material packaging dan produk hasil trial', 'Melakukan pembuatan technical drawing dengan aplikasi perangkat lunak dan membuat mock up material packaging yang dibutuhkan', 'Melakukan koordinasi dengan departemen lain terkait dengan final Art Work, pemesanan material sampling hingga final packaging, pengujian meterial samplae dan perencaan trial']","['Pendidikan minimal\xa0', 'Memiliki pengalaman kerja di\xa0', 'dan\xa0', 'erutama diindustri tembakau,', 'dan Percetakan', 'Mampu mengoperasikan Ms. Office & Adobe Illustrator', 'Memiliki kemampuan dalam membuat gambar dan\xa0']",1597
PT Nojorono Tobacco International,System & Procedure - Staff,Penuh waktu,On-site,Kudus Regency,Min. 1 years of experience,,"PT Nojorono Tobacco International merupakan salah satu perusahaan pelopor rokok kretek di Indonesia yang diinisiasi oleh Bapak Tjoa Kang Hay yang menunjuk kedua menantunya yakni Bapak Ko Djee Siong dan Bapak Tan Djing Thay. Seiring dengan perkembangan bisnis yang maju, kemudian perusahaan dikukuhkan pada 14 Oktober 1932 dan berpusat di Kota Kudus, Jawa Tengah. Saat ini, Nojorono Kudus menduduki posisi kelima dalam kategori industri sigaret terbesar di Indonesia. PT Nojorono Tobacco International dikenal sebagai pemilik merek dagang Minak Djinggo yang diluncurkan tahun 1932. Minak Djinggo merupakan pelopor inovasi Sigaret Kretek Tangan (SKT). Minak Djinggo bertahan di industri SKT hingga saat ini, cukup dikenal di kalangan petani dan nelayan. Terobosan berikut dari perusahaan adalah diluncurkannya Clas Mild, produk LTLN (Low Tar Low Nicotine) di tahun 2003. Dalam kurun waktu dua setengah tahun, Clas Mild mengukuhkan diri sebagai produk kretek filter rendah tar dan nikorin (Low Tar Low Nicotine – LTLN) yang disukai konsumen hingga berhasil menjadi produk kretek filter terbaik di Indonesia.",Tobacco Manufacturing,Indonesia,>100,"['Membantu BPO dalam melakukan review, standardisasi, dokumentasi, dan sosialisasi dokumen-dokumen QMS', 'Melakukan review existing process', 'Melakukan sosialisasi terhadap SOP, WI (Baru/Revisi) kepada BPO', 'Melakukan dokumen kontrol terhadap dokumen-dokumen QMS']","['Usia maks. 30 tahun', 'Pendidikan S1 Akuntansi/Manajemen/Teknik Industri, IPK min. 3.00', 'Memiliki analisa dan logika yang kuat', 'Mampu mengoperasikan Microsoft Office (Word, Excel, dll) dan Visio', 'Memiliki kemampuan dalam berkomunikasi', 'Memiliki pengalaman min. 1 tahun di bidang industri manufacture atau sejenis lebih disukai', 'Attention to detail, open minded, & time management yang baik', 'Lebih disukai yang memiliki pengalaman terhadap ISO 9001:2015']",1598
The Jakarta Post,Audience Performance Specialist,Penuh waktu,On-site,Jakarta Pusat,Min. 1 years of experience,,"The Jakarta Post is a reputable English-language newspaper in Indonesia, catering to a diverse readership with a keen interest in national and international news.",Newspaper,Jakarta Pusat,-,"['The Jakarta Post is one of Indonesia’s most influential newspapers that provides content and services in line with its role as a leading media in the country and Southeast Asia (SEA) region. Established on April 25, 1983, The Jakarta Post has the vision to drive transformative change in Indonesia and for Indonesia through bold, ethical, responsible, and independent reporting; critical perspective; and influence.', 'We are looking for a talented and detail-oriented Performance Audience Specialist.', 'Plan, execute, and optimize acquisition campaigns across Google Ads & Meta Ads.', 'Conduct A/B & multivariate testing, manage ad spend efficiently, and optimize for CTR, CPA, and ROAS using data-driven insights and real-time tracking tools.', 'Design and manage app & website funnels through all conversion stages.', 'Collaborate with IT to implement accurate event tracking (GTM, Meta Pixel), monitor user behavior, and ensure seamless trigger orchestration.', 'Build and maintain audience personas, segmentations, and lookalike strategies to maximize campaign impact and retention efforts across paid and owned channels.', 'Analyze performance data to identify trends and insights, and deliver actionable reports and recommendations to stakeholders.', 'Work with design and IT teams to ensure ad creatives, landing pages, and tracking systems are optimized for engagement, conversion, and performance reporting.', 'Develop and execute multi-channel retention strategies (ads, email, push), while ensuring CAC is optimized for long-term audience value.']","['Bachelor’s degree in Marketing, Business, or related field (preferred).', 'Minimum of 3-5 years of experience in performance digital marketing', 'Proven experience in managing event-driven marketing funnels and campaigns.', 'Advanced proficiency with Google Ads (search, display, YouTube) and Meta Ads (Facebook/Instagram).', 'Strong knowledge of Google Analytics, Google Tag Manager, and Meta Pixel.', 'Familiarity with basic coding or tracking tools for implementing ad pixels and tags.', 'Basic HTML understanding for basic troubleshooting and collaboration with development teams.', 'Basic understanding of SEO principles and their application in digital marketing.', 'Experience with conversion rate optimization (CRO) and marketing funnel design', 'Strength in problem-solving, data analysis, and translating insights into campaign improvements using tools like Google Data Studio, Excel, and similar platforms.', 'Proven ability to work both independently and cross-functionally with diverse teams', 'Exceptional organizational skills, keen attention to detail, and a proactive']",1599
PT Multipolar Technology,Software Engineer,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,,,Information Technology,Jakarta Selatan,-,"['Act as the first line of support for all MongoDB-related operational and technical issues.', 'Monitor MongoDB cluster health, performance, and availability.', 'Escalate complex issues to internal second-line engineering teams or MongoDB Support.', 'Execute routine database administration tasks (e.g., user management, backups, health checks).', 'Assist in patching, upgrades, and configuration updates as per change requests.', 'Perform daily operational checks and maintain support logs and incident reports.', 'Collaborate with the customer’s IT team for troubleshooting, coordination, and reporting.', 'Ensure compliance with internal security and data handling standards.', 'Document standard procedures, incidents, resolutions, and updates in a knowledge base.', 'Maintain a professional presence onsite, ensuring customer satisfaction and service excellence.']","[""Bachelor's degree from Informatics Engineering, Computer Science or any related discipline."", 'Minimum 3 years of hands-on experience in MongoDB operations or support.', 'Strong understanding of MongoDB architecture, replica sets, sharding, indexes, and backup strategies.', 'Experience in Linux-based environments (Ubuntu, RHEL, or CentOS).', 'Good knowledge of MongoDB monitoring and backup tools (Ops Manager, mongodump, etc.).', 'Basic scripting skills (Bash or Python).', 'Having a good communication and documentation skills in Bahasa Indonesia and English.', 'Placement at Tangerang']",1600
PT Multipolar Technology,Presales / Solution Specialist,Kontrak,On-site,Jakarta Selatan,Min. Freshgrad,,,Information Technology,Jakarta Selatan,-,"['Lead the preparation, coordination, and timely submission of Requests for Information (RFI) and Requests for Proposals (RFP) for tenders, ensuring compliance with client requirements.', 'Create comprehensive Bill of Quantities (BOQ), Internal Costing, and Solution Documents. High-Level Design (HLD) and Low-Level Design (LLD) are optional but advantageous.', 'Provide first-level technical support to clients, addressing inquiries and ensuring a seamless customer experience.\xa0', 'Collaborate closely with account managers to assist and support their requests, ensuring that client needs are met efficiently.']","[""Bachelor's degree in Information Technology, Information Systems, or a related field."", 'A minimum of 1-2 years of relevant work experience.', 'Strong understanding of IP/MPLS, L2 VPN, L3 VPN, EVPN, and Segment Routing technologies.', 'Knowledge of optical DWDM technology, including ASON, WSS, ROADM, and related technologies.', 'Familiarity with access technology (OLT, ONT, ACS, etc.).', 'Certifications such as CCNA SP, Juniper JNCIA, and Huawei-HCIA in datacom/transport are a plus.']",1601
PT Multipolar Technology,Accounts Manager,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,,,Information Technology,Jakarta Selatan,-,"['Achieve sales targets by selling IT solutions, specifically in the commercial industry, telco, healthcare, banking, services provider, and public sector.', 'Develop relationships with partners /principals to develop creative ways to provide customers with the best and proper IT solutions.', 'Maintain customer satisfaction through the solution-oriented selling process and manage administrative work (e.g. Proposal, contract, etc).']","[""Bachelor's Degree in Computer Science /Information Technology Engineering (Computer/Telecommunication) or equivalent from a reputable university."", 'Knowledge of IT products and industry.', 'Excellent communication and presentation skills.', 'Energetic, hard-working, and fully dedicated.']",1602
ASTRO,Dry Warehouse Inventory Supervisor (Sentul),Kontrak,On-site,Bogor Regency,Min. 4 years of experience,,"ASTRO is Indonesia's quick commerce company that delivers groceries and essentials to your door within minutes. Founded in 2021 by a group of seasoned e-commerce executives and backed by both trusted International and local investors, it is our mission to make people's lives simpler and easier by saving them time, energy, and money.",Online Groceries,Jakarta Barat,-,"['Maintain daily inventory activitity from manpower schedule, and support inbound and outbound process.', 'Conduct cylce count, and audit to find mismatch / variance items.', 'Communication with audit / loss prevention to solve variance items', 'Work with quality assurance to control wastage and specbook', 'Ensure adherence to health, hygiene, security and 5S implementation.', 'Evaluate worklngflow to increase manpower productivity and service level', 'Conduct daily report align with KPI']","['At least 3 years experience in the warehousing, with 1 years in lead level.', 'Advanced knowledge to overseeing inventory analysis and process.', 'Prioritizes customer satisfaction and provides added value for the internal division & all stakeholders.', 'Ensuring standards of health and safety, hygiene and security.', 'Excellence in leadership, communication, cost-concious, people development & plan executions.', 'Proficient in operating Ms. Office / G-suite (especially Ms. Excel / Google sheet formula and Google slide)', 'Flexibility working hours, including weekends and public holiday.', 'Experienced in a fast-paced work environment, with a strong sense of ownership.']",1603
MG Group,Contracting Manager,Kontrak,On-site,Surabaya,Min. 1 years of experience,Rp8.000.000 – 9.000.000,THE B2B HOSPITALITY MARKETPLACE Connected dynamically to the world’s top B2B buyers and sellers,Hospitality,Jakarta Pusat,>100,"['Key Responsibilities', 'Key point of contact for accommodation suppliers in', 'Negotiate the best contracting conditions with suppliers and contract renewals', 'Acquiring new portfolios', 'Negotiating campaigns and improving allotment availability', 'Monitor\xa0the differentiated product to ensure it reaches the maximum results.', 'Ensuring hotel contents are up to date', 'Analyze and identify trends and opportunity', 'Conduct monthly reviews with accommodation suppliers', 'Review rates comparison']","['Requirements:', 'Locally based in Surabaya', 'Ability to work independently as well as within a team.', 'Having at least 2 years of experience in a similar position in the travel industry.', 'Well organized, able to work in a fast-paced environment while managing multiple projects & tight deadlines.', 'Strong negotiation, analytical, strategic & creative problem-solving skills.', 'Excellent communication & interpersonal skills.', 'Good computer application skills (Google Sheets, Google Workspace).', 'Excellent general cultural knowledge']",1604
Ruangguru,Sales Trainee Academy - Bandar Lampung (Sumur Batu),Magang,Hybrid,Bandar Lampung,Min. 4th Year College Student,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Ruangguru membuka kembali program STAR (Sales Trainee Academy by Ruangguru) untuk penempatan Seluruh Indonesia. Ini adalah kesempatan bagus untuk kamu yang ingin belajar membangun karir sebagai Educational Sales Consultant dan berkontribusi dalam memajukan pendidikan di Indonesia!', '']","['Pendidikan terakhir D3 & S1 (freshgraduate dan mahasiswa semester akhir tanpa jadwal kuliah silahkan mendaftar)', 'Bersedia untuk bekerja dari kantor (sesuai penempatan)', 'Percaya diri, gigih, disiplin, dan bertanggung-jawab serta berorientasi pada target', 'Senang untuk tampil dan berbicara di depan umum', 'Memiliki laptop dan smartphone pribadi yang berfungsi dengan baik']",1605
Dealls (YC W22),Site Reliability Engineer,Penuh waktu,Hybrid,Jakarta Selatan,Min. 1 years of experience,,Dealls is Indonesia's largest job portal & mentoring platform. We help people easily find jobs to top Indonesian companies for internship and full-time roles.,Tech,Jakarta Selatan,1–50,"['We are seeking a highly skilled', 'to ensure the reliability, scalability, and performance of our systems. As a key member of the engineering team, you will be responsible for designing and implementing robust infrastructure, automating operations, and improving system resilience. You will collaborate closely with developers, DevOps, and security teams to create a highly available and fault-tolerant platform.']","['in Site Reliability Engineering, DevOps, or related fields.', 'Strong expertise in ', 'we are using GCP).', 'Proficiency in ', 'tools.', 'Experience with ', 'using Jenkins, GitHub Actions, ArgoCD, or similar tools.', 'Strong ', 'experience (Prometheus, Grafana, ELK, Datadog).', 'Proficiency in scripting and automation (Python, Go, Bash, or similar).', 'Experience with ', 'Strong problem-solving and troubleshooting abilities.', 'Excellent communication and collaboration skills.', 'Ability to work in a fast-paced, high-availability environment.', 'Experience leading reliability initiatives and mentoring junior engineers.', 'Experience with ', 'Istio, Linkerd).', 'Familiarity with ', 'PostgreSQL, MySQL, Redis, etc.).', 'Previous experience in ', 'e.g., SaaS, fintech, e-commerce).']",1606
Dealls (YC W22),Software Development Engineer in Test,Penuh waktu,On-site,Jakarta Selatan,Min. 4 years of experience,,Dealls is Indonesia's largest job portal & mentoring platform. We help people easily find jobs to top Indonesian companies for internship and full-time roles.,Tech,Jakarta Selatan,1–50,"[""As an SDET, you'll build test frameworks, tools, and infrastructure to enable fast, reliable releases across our Golang and Next.js, React.js, TypeScript, and/or TailwindCSS codebases. You'll work like a developer — but with quality as your core mission.""]","['Strong programming skills in Go and/or JavaScript/TypeScript.', 'Experience writing test frameworks and tools from scratch.', 'Familiarity with Playwright, Cypress, or Puppeteer.', 'Experience testing APIs, databases, and distributed systems.', 'Understanding of CI/CD using GitHub Actions.', 'Bonus: knowledge of gRPC, load testing, or contract testing.']",1607
