company_name,job_position,employment_type,working_location_type,working_location,min_experience,salary,company_industry,company_location,company_employess_count,jobs_id,kategori
Wings Group Indonesia (Sayap Mas Utama),Head Warehouse (Lampung Area),Penuh waktu,On-site,Lampung Tengah Regency,Min. 1 years of experience,Negotiable,Consumer Goods,Jakarta Timur,-,1326,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
MSIG Life Insurance Indonesia Tbk,Bancassurance Consultant (Jakarta),Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Rp3.600.000 – 5.800.000,Insurance,Jakarta,>100,1328,"['Sales', 'Finance', 'Consulting']"
PT. Trans Retail Indonesia,Crew Bakery (Part-Time),Paruh waktu,On-site,Depok,Min. Freshgrad,Negotiable,Retail,Jakarta,-,1329,"['Hospitality & F&B', 'Retail']"
ASTRO,Product Development Intern,Magang,On-site,Jakarta Barat,Min. 4th Year College Student,Negotiable,Online Groceries,Jakarta Barat,-,1331,"['Internship & Trainee Programs', 'Product Management', 'Research & Development']"
Wings Group Indonesia (Sayap Mas Utama),Raw Material Purchasing,Penuh waktu,On-site,Bekasi,Min. 1 years of experience,Negotiable,Consumer Goods,Jakarta Timur,-,1332,['Supply Chain & Logistics']
PT Astra International Tbk - TSO Auto2000,Account Executive (Cirebon),Penuh waktu,On-site,Cirebon,Min. Freshgrad,Negotiable,Automotive and Manufacturing,Jakarta,-,1333,"['Sales', 'Account Management']"
PT Jasa Teknologi Informasi,SAP CO Consultant,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,IT Services And IT Consulting,Jakarta,-,1335,"['Consulting', 'Software Engineering', 'Accounting', 'Finance']"
Anteraja,Finance System Product Owner,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Negotiable,Freight And Package Transportation,Jakarta Selatan,>100,1336,"['Product Management', 'Finance', 'Software Engineering']"
PT Bank Digital BCA (BCA Digital),Compliance Specialist,Penuh waktu,On-site,Jakarta Pusat,Min. Freshgrad,Negotiable,Banking,Jakarta,-,1337,['Legal & Compliance']
Sinar Mas Agribusiness and Food,Admin Sales Internship,Magang,On-site,Jakarta,Min. 4th Year College Student,Negotiable,Food & Beverage,Jakarta Pusat,-,1339,"['Internship & Trainee Programs', 'Administrative & Secretarial', 'Sales']"
Wings Group Indonesia (Sayap Mas Utama),Project Engineer,Penuh waktu,On-site,Jakarta Timur,Min. 1 years of experience,Negotiable,Consumer Goods,Jakarta Timur,-,1340,"['Project Management', 'Engineering (non-software)']"
PT.Enseval Putera Megatrading Tbk,Finance Internship,Magang,On-site,Jakarta,Min. 4th Year College Student,Negotiable,Pharmaceutical Manufacturing,Jakarta Timur,50–100,1343,"['Internship & Trainee Programs', 'Finance']"
PT. Bank KB Bukopin Tbk,Relationship Manager Funding,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Banking,Jakarta,50–100,1344,"['Sales', 'Finance', 'Account Management']"
PT UNZA VITALIS (a business unit of Wipro Customer Care),Formulator Staff,Penuh waktu,On-site,Salatiga,Min. 1 years of experience,Negotiable,Consumer Goods,Jakarta Barat,-,1345,"['Research & Development', 'Healthcare & Medical', 'Production & Manufacturing']"
Anteraja,Dispatcher (Transport Planner) - Medan,Kontrak,On-site,Medan,Min. 1 years of experience,Rp2.000.000 – 4.000.000,Freight And Package Transportation,Jakarta Selatan,>100,1346,"['Supply Chain & Logistics', 'Operations Management']"
Arya Noble,Corporate Strategy Management Specialist,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Negotiable,Consumer Services,Jakarta Selatan,-,1347,"['Business Analysis', 'Finance', 'Management & Leadership']"
Wings Group Indonesia (Sayap Mas Utama),Internal Auditor,Penuh waktu,On-site,Jakarta Timur,Min. 1 years of experience,Negotiable,Consumer Goods,Jakarta Timur,-,1348,['Audit']
Wings Group Indonesia (Sayap Mas Utama),Internal Auditor,Penuh waktu,On-site,Jakarta Timur,Min. 1 years of experience,Negotiable,Consumer Goods,Jakarta Timur,-,1348,['Audit']
Sinar Mas Agribusiness and Food,HRBP Internship (IT),Magang,On-site,Jakarta,Min. 4th Year College Student,Negotiable,Food & Beverage,Jakarta Pusat,-,1350,"['Internship & Trainee Programs', 'Human Resources']"
Xapiens Teknologi Indonesia,Cyber Security Analyst,Kontrak,On-site,Tangerang Selatan,Min. Freshgrad,Rp5.500.000 – 8.000.000,ICT Services,Tangerang Selatan,50–100,1351,['Cybersecurity']
Adira Finance,Commercial Vehicle Account Officer - Jakarta,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Financial Services,Jakarta,-,1353,"['Sales', 'Account Management', 'Finance']"
Akulaku Indonesia,IT Product,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Financial Services,Jakarta Pusat,>100,1355,"['Product Management', 'IT Operations & Support', 'Software Engineering']"
Akulaku Indonesia,Regional Sales Manager (Kalimantan),Kontrak,On-site,Balikpapan,Min. 1 years of experience,Negotiable,Financial Services,Jakarta Pusat,>100,1357,"['Sales', 'Management & Leadership']"
Wings Group Indonesia (Sayap Mas Utama),"IT Officer (Leuwiliang, Pancur Batu, Batam)",Penuh waktu,On-site,Jakarta Timur,Min. 1 years of experience,Negotiable,Consumer Goods,Jakarta Timur,-,1358,['IT Operations & Support']
PT SANTOS JAYA ABADI (Kapal Api Group),Compensation & Benefit Supervisor,Penuh waktu,On-site,Sidoarjo Regency,Min. 4 years of experience,Negotiable,Manufacture,Sidoarjo Regency,50–100,1359,"['Compensation & Benefits', 'Human Resources', 'Management & Leadership']"
MR. DIY Indonesia,Market Analyst Executive,Penuh waktu,On-site,Jakarta,Min. Freshgrad,Rp5.000.000 – 6.000.000,Retail and fashion,Jakarta Selatan,50–100,1360,"['Marketing', 'Data Science & Analytics', 'Research & Development']"
MR. DIY Indonesia,Project Supervisor (Retail),Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Retail and fashion,Jakarta Selatan,50–100,1361,"['Project Management', 'Retail', 'Management & Leadership']"
PT.Enseval Putera Megatrading Tbk,Secretary,Penuh waktu,On-site,Jakarta,Min. Freshgrad,Negotiable,Pharmaceutical Manufacturing,Jakarta Timur,50–100,1363,['Administrative & Secretarial']
MR. DIY Indonesia,Supervisor Forklift,Penuh waktu,On-site,Bekasi,Min. 4 years of experience,Negotiable,Retail and fashion,Jakarta Selatan,50–100,1364,"['Warehouse Management', 'Skilled Trades & Technician', 'Management & Leadership']"
PT.Enseval Putera Megatrading Tbk,Finance Accounting Coordinator - All Branches,Penuh waktu,On-site,Depok,Min. 1 years of experience,Negotiable,Pharmaceutical Manufacturing,Jakarta Timur,50–100,1365,"['Finance', 'Accounting', 'Management & Leadership']"
PT.Enseval Putera Megatrading Tbk,District Sales Manager,Penuh waktu,On-site,Jakarta,Min. 4 years of experience,Negotiable,Pharmaceutical Manufacturing,Jakarta Timur,50–100,1366,"['Sales', 'Management & Leadership']"
PT.Enseval Putera Megatrading Tbk,District Sales Manager,Penuh waktu,On-site,Jakarta,Min. 4 years of experience,Negotiable,Pharmaceutical Manufacturing,Jakarta Timur,50–100,1366,"['Sales', 'Management & Leadership']"
MR. DIY Indonesia,Retail Supervisor Area (Papua),Penuh waktu,On-site,Indonesia,Min. 1 years of experience,Negotiable,Retail and fashion,Jakarta Selatan,50–100,1367,"['Retail', 'Sales', 'Management & Leadership']"
PT.Enseval Putera Megatrading Tbk,Junior Database Administrator,Penuh waktu,On-site,Jakarta Timur,Min. 4th Year College Student,Negotiable,Pharmaceutical Manufacturing,Jakarta Timur,50–100,1368,['IT Operations & Support']
PT.Enseval Putera Megatrading Tbk,Tax Supervisor,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Pharmaceutical Manufacturing,Jakarta Timur,50–100,1369,"['Tax', 'Management & Leadership']"
PT.Enseval Putera Megatrading Tbk,Finance & Accounting Coordinator - Manado,Penuh waktu,On-site,Manado,Min. 1 years of experience,Negotiable,Pharmaceutical Manufacturing,Jakarta Timur,50–100,1370,"['Finance', 'Accounting', 'Management & Leadership']"
PT.Enseval Putera Megatrading Tbk,Collector (Kalimantan & Sulawesi Area),Penuh waktu,On-site,Manado,Min. Freshgrad,Negotiable,Pharmaceutical Manufacturing,Jakarta Timur,50–100,1371,"['Finance', 'Sales', 'Customer Service & Support']"
Vidio,CM Sponsorship Non GAM Intern (Emtek Digital),Magang,On-site,Jakarta,Min. 4th Year College Student,Negotiable,Media & Entertainment,Jakarta Pusat,>100,1372,"['Internship & Trainee Programs', 'Marketing', 'Sales']"
PT.Enseval Putera Megatrading Tbk,Finance & Accounting Coordinator - Palu,Penuh waktu,On-site,Palu,Min. 1 years of experience,Negotiable,Pharmaceutical Manufacturing,Jakarta Timur,50–100,1373,"['Finance', 'Accounting', 'Management & Leadership']"
PT.Enseval Putera Megatrading Tbk,Head of Area (all Indonesia),Penuh waktu,On-site,Balikpapan,Min. 1 years of experience,Negotiable,Pharmaceutical Manufacturing,Jakarta Timur,50–100,1374,"['Management & Leadership', 'Operations Management', 'Sales']"
PT. Sinar Sosro,Sales Taking Order – Karawang,Penuh waktu,On-site,Karawang Regency,Min. 1 years of experience,Negotiable,FMCG,Bekasi,-,1375,['Sales']
 AEON INDONESIA PT,Internal Audit Assistant Manager,Penuh waktu,On-site,Tangerang Selatan,Min. 4 years of experience,Negotiable,Retail,Tangerang,-,1377,"['Audit', 'Management & Leadership']"
PT Gree Electric Appliances Indonesia,B2B Consultant HVAC,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Electronics,Jakarta Utara,>100,1378,"['Sales', 'Consulting', 'Engineering (non-software)']"
PT Gree Electric Appliances Indonesia,Consultant Sales Manager/Head (HVAC),Penuh waktu,On-site,Jakarta,Min. 4 years of experience,Negotiable,Electronics,Jakarta Utara,>100,1380,"['Sales', 'Consulting', 'Engineering (non-software)', 'Management & Leadership']"
PT Gree Electric Appliances Indonesia,Project Sales B2B (Architect),Penuh waktu,On-site,Jakarta Utara,Min. 1 years of experience,Negotiable,Electronics,Jakarta Utara,>100,1381,"['Sales', 'Business Development', 'Project Management', 'Engineering (non-software)']"
PT Gree Electric Appliances Indonesia,Product Specialist AC,Penuh waktu,On-site,Jakarta Utara,Min. Freshgrad,Negotiable,Electronics,Jakarta Utara,>100,1382,"['Product Management', 'Sales', 'Engineering (non-software)']"
PT Gree Electric Appliances Indonesia,Promotor - Penempatan Sunter Jakarta Utara,Penuh waktu,On-site,Jakarta Utara,Min. 1 years of experience,Negotiable,Electronics,Jakarta Utara,>100,1383,"['Sales', 'Retail']"
Vidio,Product Operations Intern,Magang,On-site,Jakarta,Min. 3rd Year College Student,Negotiable,Media & Entertainment,Jakarta Pusat,>100,1384,"['Internship & Trainee Programs', 'Product Management', 'Operations Management']"
Vidio,Title Marketing Manager,Penuh waktu,Hybrid,Jakarta,Min. 4 years of experience,Negotiable,Media & Entertainment,Jakarta Pusat,>100,1385,"['Marketing', 'Management & Leadership']"
Vidio,Live Streaming Operator - Live & Go (Sampoerna Strategic Square),Freelance,On-site,Jakarta,Min. Freshgrad,Negotiable,Media & Entertainment,Jakarta Pusat,>100,1386,"['Marketing', 'Creative & Design', 'Skilled Trades & Technician']"
Vidio,Video Editor Intern,Magang,On-site,Jakarta Pusat,Min. 2nd Year College Student,Negotiable,Media & Entertainment,Jakarta Pusat,>100,1387,"['Internship & Trainee Programs', 'Creative & Design']"
Ruangguru,Sales Trainee Academy - Jakarta Selatan (Fatmawati),Magang,On-site,Jakarta Selatan,Min. 4th Year College Student,Negotiable,Technology Education,Jakarta Selatan,50–100,1388,"['Internship & Trainee Programs', 'Sales']"
Ruangguru,Branch Manager - Jakarta Barat (DKI Jakarta),Penuh waktu,On-site,Jakarta Barat,Min. 1 years of experience,Negotiable,Technology Education,Jakarta Selatan,50–100,1389,"['Management & Leadership', 'Operations Management', 'Sales']"
PT. Bank KB Bukopin Tbk,BRANCH SALES MANAGER (PURWOREJO),Penuh waktu,On-site,Purworejo Regency,Min. 1 years of experience,Negotiable,Banking,Jakarta,50–100,1392,"['Sales', 'Management & Leadership']"
Ruangguru,Sales Trainee Academy - Jakarta Selatan (Jagakarsa),Magang,On-site,Jakarta Selatan,Min. 4th Year College Student,Negotiable,Technology Education,Jakarta Selatan,50–100,1393,"['Internship & Trainee Programs', 'Sales']"
Wings Group Indonesia (Sayap Mas Utama),Pastry Chef / Baker,Penuh waktu,On-site,Jakarta Timur,Min. 4 years of experience,Negotiable,Consumer Goods,Jakarta Timur,-,1394,['Hospitality & F&B']
Wings Group Indonesia (Sayap Mas Utama),Area Sales Supervisor (Sumatera Area),Penuh waktu,On-site,Padang,Min. 1 years of experience,Negotiable,Consumer Goods,Jakarta Timur,-,1395,"['Sales', 'Management & Leadership']"
Wings Group Indonesia (Sayap Mas Utama),SAP MM/WM Business Operation Lead,Penuh waktu,On-site,Jakarta Timur,Min. 4 years of experience,Negotiable,Consumer Goods,Jakarta Timur,-,1396,"['Supply Chain & Logistics', 'Warehouse Management', 'Software Engineering', 'Operations Management', 'Management & Leadership']"
Wings Group Indonesia (Sayap Mas Utama),Instrument & Control Engineer,Penuh waktu,On-site,Jakarta Timur,Min. 4 years of experience,Negotiable,Consumer Goods,Jakarta Timur,-,1397,"['Engineering (non-software)', 'Production & Manufacturing']"
Wings Group Indonesia (Sayap Mas Utama),"IT SAP Functional (WM, SD, PP, HR)",Penuh waktu,On-site,Jakarta Timur,Min. 1 years of experience,Negotiable,Consumer Goods,Jakarta Timur,-,1398,"['Software Engineering', 'Consulting', 'Business Analysis', 'IT Operations & Support']"
Wings Group Indonesia (Sayap Mas Utama),Export Service,Penuh waktu,On-site,Jakarta,Min. 4 years of experience,Negotiable,Consumer Goods,Jakarta Timur,-,1399,"['Supply Chain & Logistics', 'Customer Service & Support']"
MODENA,Graphic Designer Intern,Magang,On-site,Jakarta Selatan,Min. 4th Year College Student,Negotiable,"Appliances, Electrical, And Electronics Manufacturing",Jakarta,-,1400,"['Internship & Trainee Programs', 'Creative & Design']"
ASTRO,Demand Planning Senior Associate,Penuh waktu,Hybrid,Jakarta Barat,Min. 1 years of experience,Negotiable,Online Groceries,Jakarta Barat,-,1401,['Supply Chain & Logistics']
Pou Chen Group Indonesia,Water Treatment Plant (WTP) Operator,Penuh waktu,On-site,Pekalongan,Min. 1 years of experience,Negotiable,Spectator Sports,Banten,50–100,1406,"['Health, Safety & Environment (HSE)', 'Skilled Trades & Technician', 'Engineering (non-software)']"
Anteraja,Distribution Assistant (DA) - ASSA Tangerang,Kontrak,On-site,Tangerang,Min. Freshgrad,Rp3.000.000 – 5.000.000,Freight And Package Transportation,Jakarta Selatan,>100,1408,"['Warehouse Management', 'Supply Chain & Logistics']"
Anteraja,Mitra Kurir Motor (Jabodetabek),Penuh waktu,On-site,Jakarta Selatan,Min. Freshgrad,Negotiable,Freight And Package Transportation,Jakarta Selatan,>100,1413,"['Supply Chain & Logistics', 'Skilled Trades & Technician']"
Anteraja,Warehouse Distribution Assistant (DA) - ASSA Kayu Agung,Kontrak,On-site,Ogan Komering Ilir Regency,Min. 1 years of experience,Negotiable,Freight And Package Transportation,Jakarta Selatan,>100,1425,"['Warehouse Management', 'Supply Chain & Logistics']"
Anteraja,Operation Support Associate (Tools),Penuh waktu,On-site,Jakarta Timur,Min. Freshgrad,Negotiable,Freight And Package Transportation,Jakarta Selatan,>100,1445,"['Operations Management', 'Skilled Trades & Technician']"
Anteraja,Operation Support Facility Associate (Bandung),Penuh waktu,On-site,Bandung,Min. Freshgrad,Negotiable,Freight And Package Transportation,Jakarta Selatan,>100,1446,"['Operations Management', 'Administrative & Secretarial', 'Skilled Trades & Technician']"
Anteraja,Mitra Kurir Motor,Penuh waktu,On-site,Indonesia,Min. Freshgrad,Negotiable,Freight And Package Transportation,Jakarta Selatan,>100,1454,"['Supply Chain & Logistics', 'Skilled Trades & Technician']"
Dexa Group,Medical Representative - Makassar,Penuh waktu,On-site,Makassar,Min. 1 years of experience,Negotiable,Pharmaceutical,Tangerang Selatan,-,1460,"['Sales', 'Healthcare & Medical']"
Dexa Group,Medical Representative Tangerang Selatan,Penuh waktu,On-site,Tangerang Selatan,Min. Freshgrad,Negotiable,Pharmaceutical,Tangerang Selatan,-,1461,"['Sales', 'Healthcare & Medical']"
PT. Richeese Kuliner Indonesia,Site Acquisition Specialist,Penuh waktu,On-site,Bandung,Min. 4 years of experience,Negotiable,Fast Food Restaurant,Bandung,>100,1462,"['Business Development', 'Legal & Compliance', 'Engineering (non-software)']"
Dexa Group,IT Product Manager / IT Product Owner - Research & Development,Penuh waktu,On-site,Tangerang Selatan,Min. 4 years of experience,Negotiable,Pharmaceutical,Tangerang Selatan,-,1464,"['Product Management', 'IT Operations & Support', 'Software Engineering', 'Research & Development']"
Dexa Group,IT Manufacturing Support Engineer (Karawang),Penuh waktu,On-site,Karawang Regency,Min. 1 years of experience,Negotiable,Pharmaceutical,Tangerang Selatan,-,1465,"['IT Operations & Support', 'Production & Manufacturing']"
ASTRO,Campaign Promo Strategy Analyst,Penuh waktu,Hybrid,Jakarta Barat,Min. 1 years of experience,Negotiable,Online Groceries,Jakarta Barat,-,1466,"['Marketing', 'Data Science & Analytics', 'Sales']"
Dexa Group,Medical Representative Batam,Penuh waktu,On-site,Batam,Min. Freshgrad,Negotiable,Pharmaceutical,Tangerang Selatan,-,1467,"['Sales', 'Healthcare & Medical']"
PT SANTOS JAYA ABADI (Kapal Api Group),MHE Driver/ Forklift Driver (SJA Semarang),Penuh waktu,On-site,Semarang,Min. Freshgrad,Negotiable,Manufacture,Sidoarjo Regency,50–100,1468,"['Warehouse Management', 'Skilled Trades & Technician']"
Astra Financial,Cyber Security Engineer,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Financial Services,Jakarta,-,1469,['Cybersecurity']
PT SANTOS JAYA ABADI (Kapal Api Group),Maintenance Planner & Reliability Supervisor,Penuh waktu,On-site,Sidoarjo Regency,Min. 1 years of experience,Negotiable,Manufacture,Sidoarjo Regency,50–100,1470,"['Skilled Trades & Technician', 'Engineering (non-software)', 'Supply Chain & Logistics', 'Management & Leadership']"
ASTRO,Senior Category Manager (Protein & Seafood),Penuh waktu,Hybrid,Jakarta Barat,Min. 4 years of experience,Negotiable,Online Groceries,Jakarta Barat,-,1471,"['Marketing', 'Sales', 'Retail', 'Hospitality & F&B', 'Management & Leadership']"
ASTRO,Process Excellence Supervisor (ASTRO Go and Offline),Kontrak,Hybrid,Jakarta Barat,Min. 4 years of experience,Negotiable,Online Groceries,Jakarta Barat,-,1473,"['Operations Management', 'Business Analysis', 'Management & Leadership']"
ASTRO,Dry Warehouse Outbound Supervisor (Sentul),Kontrak,On-site,Bogor Regency,Min. 1 years of experience,Negotiable,Online Groceries,Jakarta Barat,-,1474,"['Warehouse Management', 'Supply Chain & Logistics', 'Management & Leadership']"
MODENA,Back-end Developer,Kontrak,On-site,Jakarta Selatan,Min. 1 years of experience,Negotiable,"Appliances, Electrical, And Electronics Manufacturing",Jakarta,-,1476,['Software Engineering']
PT TOYOTA ASTRA FINANCIAL SERVICES,Kinto Asset Management Supervisor,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Financial Services,Jakarta,-,1477,"['Finance', 'Accounting', 'Management & Leadership']"
PT TOYOTA ASTRA FINANCIAL SERVICES,Recovery & Solution Officer - Palu,Penuh waktu,On-site,Palu,Min. 1 years of experience,Negotiable,Financial Services,Jakarta,-,1478,"['Finance', 'Legal & Compliance', 'Customer Service & Support']"
PT TOYOTA ASTRA FINANCIAL SERVICES,Recovery & Solution Officer - Tegal,Penuh waktu,On-site,Tegal,Min. 1 years of experience,Negotiable,Financial Services,Jakarta,-,1481,"['Finance', 'Legal & Compliance', 'Customer Service & Support']"
PT. Bank KB Bukopin Tbk,RELATIONSHIP MANAGER FUNDING BANDUNG,Penuh waktu,On-site,Bandung Regency,Min. 1 years of experience,Negotiable,Banking,Jakarta,50–100,1482,"['Sales', 'Finance', 'Account Management']"
ASTRO,Senior Associate Product Development,Penuh waktu,Hybrid,Jakarta Barat,Min. 1 years of experience,Negotiable,Online Groceries,Jakarta Barat,-,1483,"['Product Management', 'Research & Development']"
Pou Chen Group Indonesia,Export and Import Officer (Pekalongan),Penuh waktu,On-site,Pekalongan Regency,Min. 2nd Year College Student,Negotiable,Spectator Sports,Banten,50–100,1484,['Supply Chain & Logistics']
Bank Sahabat Sampoerna,IT Devops Officer,Penuh waktu,On-site,Jakarta Selatan,Min. 1 years of experience,Negotiable,Corporate Banking,Jakarta Selatan,>100,1485,['DevOps']
Pou Chen Group Indonesia,Architectural Engineer,Penuh waktu,On-site,Pekalongan,Min. 1 years of experience,Negotiable,Spectator Sports,Banten,50–100,1486,"['Engineering (non-software)', 'Creative & Design']"
Pou Chen Group Indonesia,Security Koordinator Supervisor/ Team Leader - Pekalongan,Penuh waktu,On-site,Pekalongan,Min. 1 years of experience,Negotiable,Spectator Sports,Banten,50–100,1487,"['Security', 'Management & Leadership']"
PT. Mowilex,Logistic Analyst,Penuh waktu,On-site,Serang Regency,Min. 1 years of experience,Negotiable,Wholesale Building Materials,Jakarta,-,1488,"['Supply Chain & Logistics', 'Data Science & Analytics']"
PT Asuransi BRI Life,Bancassurance Financial Advisor Regional Semarang (Jateng Bagian Utara),Penuh waktu,On-site,Semarang Regency,Min. Freshgrad,Rp4.000.000 – 5.400.000,Insurance,Jakarta,-,1489,"['Sales', 'Finance', 'Consulting']"
RedDoorz,Junior Business Development - Jambi,Penuh waktu,On-site,Jambi,Min. Freshgrad,Negotiable,Hospitality,Jakarta,-,1490,"['Business Development', 'Sales']"
ASTRO,Dry Fulfillment Excellence Supervisor,Penuh waktu,Hybrid,Jakarta Barat,Min. 1 years of experience,Negotiable,Online Groceries,Jakarta Barat,-,1491,"['Warehouse Management', 'Supply Chain & Logistics', 'Operations Management', 'Management & Leadership']"
PT. Bank KB Bukopin Tbk,BRANCH SALES MANAGER (WONOSOBO),Penuh waktu,On-site,Wonosobo Regency,Min. 1 years of experience,Negotiable,Banking,Jakarta,50–100,1492,"['Sales', 'Management & Leadership']"
ASTRO,Brand Acquisition Associate,Penuh waktu,Hybrid,Jakarta Barat,Min. 1 years of experience,Negotiable,Online Groceries,Jakarta Barat,-,1493,"['Business Development', 'Sales', 'Marketing']"
 AEON INDONESIA PT,Marketing & Management Data Analyst Senior Officer,Penuh waktu,On-site,Tangerang Selatan,Min. 4 years of experience,Negotiable,Retail,Tangerang,-,1494,"['Marketing', 'Data Science & Analytics', 'Management & Leadership']"
ATI Business Group,Customer Service (Fluent in English),Penuh waktu,On-site,Jakarta Pusat,Min. Freshgrad,Negotiable,Business Process Outsourcing (BPO),Jakarta Pusat,-,1495,['Customer Service & Support']
PT. Mowilex,Talent Management & Organizational Development,Penuh waktu,On-site,Jakarta,Min. 4 years of experience,Negotiable,Wholesale Building Materials,Jakarta,-,1496,['Human Resources']
PT Migo Commercial Indonesia,Area Sales Development Specialist (Contract Base),Kontrak,On-site,Jakarta,Min. 1 years of experience,Negotiable,"Technology, Information And Media",Jakarta,>100,1497,"['Sales', 'Business Development']"
PT. Sinar Sosro,Sales Supervisor,Penuh waktu,On-site,Situbondo Regency,Min. 1 years of experience,Negotiable,FMCG,Bekasi,-,1498,"['Sales', 'Management & Leadership']"
Morula IVF Indonesia (PT. Morula Indonesia),Coordinator IT Application,Penuh waktu,On-site,Jakarta Pusat,Min. 1 years of experience,Negotiable,Hospitals And Health Care,Indonesia,>100,1499,"['IT Operations & Support', 'Software Engineering', 'Management & Leadership']"
RedDoorz,Marketing Affiliate Specialist - Surabaya,Penuh waktu,Remote,-,Min. 1 years of experience,Negotiable,Hospitality,Jakarta,-,1500,['Marketing']
MSIG Life Insurance Indonesia Tbk,National Sales Head Java,Penuh waktu,On-site,Jakarta,Min. 5+ years of experience,Negotiable,Insurance,Jakarta,>100,1501,"['Sales', 'Management & Leadership']"
Morula IVF Indonesia (PT. Morula Indonesia),Supervisor Corporate and Insurance Sales Hospital,Kontrak,On-site,Jakarta Pusat,Min. 4th Year College Student,Negotiable,Hospitals And Health Care,Indonesia,>100,1503,"['Sales', 'Account Management', 'Finance', 'Healthcare & Medical', 'Management & Leadership']"
RedDoorz,Sales Villa - Bali,Penuh waktu,Remote,-,Min. Freshgrad,Negotiable,Hospitality,Jakarta,-,1504,"['Sales', 'Hospitality & F&B']"
PT. Bank KB Bukopin Tbk,Relationship Manager Funding for Semarang,Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Banking,Jakarta,50–100,1505,"['Sales', 'Finance', 'Account Management']"
AIA Indonesia,Bancassurance Life Consultant (Muara Karang),Penuh waktu,On-site,Jakarta Utara,Min. Freshgrad,Rp3.000.000 – 5.000.000,Insurance,Jakarta,-,1506,"['Sales', 'Finance', 'Consulting']"
AIA Indonesia,BANCASSURANCE LIFE CONSULTANT (SEMARANG),Penuh waktu,On-site,Semarang,Min. Freshgrad,Rp3.000.000 – 5.000.000,Insurance,Jakarta,-,1507,"['Sales', 'Finance', 'Consulting']"
PT Jasa Teknologi Informasi,SAP Change Management Consultant,Penuh waktu,On-site,Jakarta,Min. 5+ years of experience,Negotiable,IT Services And IT Consulting,Jakarta,-,1508,"['Consulting', 'Human Resources', 'Project Management', 'Software Engineering']"
PT Jasa Teknologi Informasi,Solution Architect-SAP (Application Architect-SAP),Penuh waktu,On-site,Jakarta Pusat,Min. 5+ years of experience,Negotiable,IT Services And IT Consulting,Jakarta,-,1509,"['Software Engineering', 'IT Operations & Support', 'Consulting']"
MSIG Life Insurance Indonesia Tbk,Regional Agency Development,Penuh waktu,Hybrid,Jakarta,Min. 4 years of experience,Negotiable,Insurance,Jakarta,>100,1510,"['Sales', 'Business Development', 'Management & Leadership']"
Astra Credit Company,Account Receivable Handling Officer,Penuh waktu,On-site,Makassar,Min. Freshgrad,Negotiable,Finance Services,Jakarta Selatan,-,1511,"['Accounting', 'Customer Service & Support']"
PT. Bank KB Bukopin Tbk,Relationship Manager Funding (Bandar Lampung),Penuh waktu,On-site,Bandar Lampung,Min. 1 years of experience,Negotiable,Banking,Jakarta,50–100,1512,"['Sales', 'Finance', 'Account Management']"
Geek Hunter,Retail Operation Manager (Smartphone Industry),Penuh waktu,On-site,Jakarta,Min. 5+ years of experience,Rp25.000.000 – 30.000.000,Headhunter,Bandung,1–50,1513,"['Retail', 'Operations Management', 'Management & Leadership']"
AIA Indonesia,Bancassurance Life Consultant - Surabaya / Sidoarjo,Penuh waktu,On-site,Tangerang,Min. Freshgrad,Rp4.000.000 – 5.000.000,Insurance,Jakarta,-,1514,"['Sales', 'Finance', 'Consulting']"
Geek Hunter,Strategic and Marketing Manager,Penuh waktu,On-site,Bandung Regency,Min. 4 years of experience,Rp7.000.000 – 11.000.000,Headhunter,Bandung,1–50,1515,"['Marketing', 'Business Analysis', 'Management & Leadership']"
PT. Bank KB Bukopin Tbk,AO Pension Loan (Ciranjang),Penuh waktu,On-site,Cianjur Regency,Min. 1 years of experience,Negotiable,Banking,Jakarta,50–100,1516,"['Sales', 'Finance', 'Account Management']"
 AEON INDONESIA PT,IT Infrastructure & Operation Assistant Manager,Penuh waktu,On-site,Tangerang Selatan,Min. 1 years of experience,Negotiable,Retail,Tangerang,-,1517,"['IT Operations & Support', 'Management & Leadership']"
PT. Bank KB Bukopin Tbk,RM SME for Kalimantan & Sulawesi Area (walk in interview),Penuh waktu,On-site,Jakarta,Min. 1 years of experience,Negotiable,Banking,Jakarta,50–100,1518,"['Account Management', 'Sales', 'Finance']"
